Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        2     0.00     0.00  std::_Head_base<0ul, std::thread::_State*, false>::_M_head(std::_Head_base<0ul, std::thread::_State*, false>&)
  0.00      0.00     0.00        2     0.00     0.00  std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >::_M_head(std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >&)
  0.00      0.00     0.00        2     0.00     0.00  std::__uniq_ptr_impl<std::thread::_State, std::default_delete<std::thread::_State> >::_M_ptr()
  0.00      0.00     0.00        2     0.00     0.00  std::thread::id::id()
  0.00      0.00     0.00        2     0.00     0.00  std::__detail::_List_node_header::_M_init()
  0.00      0.00     0.00        2     0.00     0.00  std::__detail::_List_node_header::_List_node_header()
  0.00      0.00     0.00        2     0.00     0.00  std::thread::_State*& std::__get_helper<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >(std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >&)
  0.00      0.00     0.00        2     0.00     0.00  std::tuple_element<0ul, std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> > >::type& std::get<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >(std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> >&)
  0.00      0.00     0.00        2     0.00     0.00  int (&std::forward<int (&)()>(std::remove_reference<int (&)()>::type&))()
  0.00      0.00     0.00        1     0.00     0.00  check_ssid(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      0.00     0.00        1     0.00     0.00  login_page()
  0.00      0.00     0.00        1     0.00     0.00  check_gender(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      0.00     0.00        1     0.00     0.00  file_to_list()
  0.00      0.00     0.00        1     0.00     0.00  list_to_file()
  0.00      0.00     0.00        1     0.00     0.00  check_area_type(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      0.00     0.00        1     0.00     0.00  check_dependants(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      0.00     0.00        1     0.00     0.00  check_house_type(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      0.00     0.00        1     0.00     0.00  check_occupation(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      0.00     0.00        1     0.00     0.00  Citizen_Data_View()
  0.00      0.00     0.00        1     0.00     0.00  Data_Maintainance()
  0.00      0.00     0.00        1     0.00     0.00  Citizen_Data_Modify()
  0.00      0.00     0.00        1     0.00     0.00  check_annual_income(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      0.00     0.00        1     0.00     0.00  check_qualification(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      0.00     0.00        1     0.00     0.00  Zone_1_Citizen_Register()
  0.00      0.00     0.00        1     0.00     0.00  Dynaland_Central_Representative()
  0.00      0.00     0.00        1     0.00     0.00  Dynaland_Zone_Wise_Registration()
  0.00      0.00     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.00     0.00        1     0.00     0.00  check_age(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      0.00     0.00        1     0.00     0.00  __gthread_mutex_lock(pthread_mutex_t*)
  0.00      0.00     0.00        1     0.00     0.00  __gthread_mutex_unlock(pthread_mutex_t*)
  0.00      0.00     0.00        1     0.00     0.00  Authenticate::get_admin_id[abi:cxx11]()
  0.00      0.00     0.00        1     0.00     0.00  Authenticate::get_password[abi:cxx11]()
  0.00      0.00     0.00        1     0.00     0.00  Authenticate::Authenticate()
  0.00      0.00     0.00        1     0.00     0.00  Citizen::Citizen_Data_Create(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      0.00     0.00        1     0.00     0.00  Citizen::Citizen_Data_Modify(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<Authenticate> >::new_allocator()
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<Authenticate> >::~new_allocator()
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<Citizen> >::new_allocator()
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<Citizen> >::~new_allocator()
  0.00      0.00     0.00        1     0.00     0.00  std::_List_iterator<Authenticate>::operator*() const
  0.00      0.00     0.00        1     0.00     0.00  std::thread::joinable() const
  0.00      0.00     0.00        1     0.00     0.00  std::__cxx11::list<Citizen, std::allocator<Citizen> >::empty() const
  0.00      0.00     0.00        1     0.00     0.00  std::allocator<std::_List_node<Authenticate> >::allocator()
  0.00      0.00     0.00        1     0.00     0.00  std::allocator<std::_List_node<Authenticate> >::~allocator()
  0.00      0.00     0.00        1     0.00     0.00  std::allocator<std::_List_node<Citizen> >::allocator()
  0.00      0.00     0.00        1     0.00     0.00  std::allocator<std::_List_node<Citizen> >::~allocator()
  0.00      0.00     0.00        1     0.00     0.00  std::_Head_base<0ul, int (*)(), false>::_M_head(std::_Head_base<0ul, int (*)(), false>&)
  0.00      0.00     0.00        1     0.00     0.00  std::_Head_base<0ul, int (*)(), false>::_Head_base(int (* const&)())
  0.00      0.00     0.00        1     0.00     0.00  std::_Head_base<0ul, std::thread::_State*, false>::_Head_base()
  0.00      0.00     0.00        1     0.00     0.00  std::_Head_base<1ul, std::default_delete<std::thread::_State>, true>::_Head_base()
  0.00      0.00     0.00        1     0.00     0.00  std::unique_ptr<std::thread::_State, std::default_delete<std::thread::_State> >::unique_ptr<std::default_delete<std::thread::_State>, void>(std::thread::_State*)
